ID,Occasion,Type,Color
1,casual,"Kurta, Pyjama & Dupatta Set",White
2,Festive & Party,"Kurta, Palazzo & Dupatta Set",Pink
3,Festive & Party,"Anarkali Kurta, Bottom & Dupatta Set","White, Light Blue"
4,Festive & Party,"Anarkali Kurta, Bottom & Dupatta Set",Blue
5,Festive & Party,"Kurta, Palazzo & Dupatta Set",Pink
6,Casual,Straight,Orange
7,Festive & Party,"Anarkali Kurta, Bottom & Dupatta Set",Light Blue
8,Festive & Party,"Kurta, Palazzo & Dupatta Set",Pink
9,Casual,"Kurta, Trouser/Pant & Dupatta Set",Light Blue
10,Festive & Party,"Kurta, Palazzo & Dupatta Set",Black
